entry_id,text,reading,selection,floor_for,assigned_upos,assigned_frames,profile_count,readingSupport,heteronym,cedict,commonness,grammarEvidence,predicate,reading_verdict,role_verdict,notes
word:節日:ㄐㄧㄝ2-ㄖ4,節日,ㄐㄧㄝ2 ㄖ4,base,commonness|grammarEvidence,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,moderate-3-9,non-predicate,,,
word:聖彼得堡:ㄕㄥ4-ㄅㄧ3-ㄉㄜ2-ㄅㄠ3,聖彼得堡,ㄕㄥ4 ㄅㄧ3 ㄉㄜ2 ㄅㄠ3,base,readingSupport,PROPN,avalent,1,moe-revised-fallback,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:聖徒:ㄕㄥ4-ㄊㄨ2,聖徒,ㄕㄥ4 ㄊㄨ2,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,no-projection,single-reading,unique-record,tier-4,weak-1-2,non-predicate,,,
word:聖靈:ㄕㄥ4-ㄌㄧㄥ2,聖靈,ㄕㄥ4 ㄌㄧㄥ2,base,,NOUN|PROPN,avalent,2,moe-concised,single-reading,absent,tier-4,moderate-3-9,non-predicate,,,
word:裝設:ㄓㄨㄤ1-ㄕㄜ4,裝設,ㄓㄨㄤ1 ㄕㄜ4,base,,VERB,transitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:解:ㄐㄧㄝ4,解,ㄐㄧㄝ4,floor,heteronym|cedict,NOUN|VERB,avalent|transitive,2,no-projection,multi-reading,ambiguous-records,tier-1,weak-1-2,predicate,,,
word:解:ㄒㄧㄝ4,解,ㄒㄧㄝ4,base,heteronym|cedict|commonness,NOUN|VERB,avalent|transitive,2,no-projection,multi-reading,ambiguous-records,tier-1,weak-1-2,predicate,,,
word:解說:ㄐㄧㄝ3-ㄕㄨㄛ1,解說,ㄐㄧㄝ3 ㄕㄨㄛ1,base,commonness,NOUN,avalent,1,moe-concised,single-reading,absent,tier-2,weak-1-2,non-predicate,,,
word:農藥:ㄋㄨㄥ2-ㄧㄠ4,農藥,ㄋㄨㄥ2 ㄧㄠ4,base,commonness,NOUN,avalent,1,moe-concised,single-reading,absent,tier-2,weak-1-2,non-predicate,,,
word:電:ㄉㄧㄢ4,電,ㄉㄧㄢ4,base,commonness,NOUN|PART,avalent,2,moe-concised,single-reading,absent,tier-2,moderate-3-9,non-predicate,,,
word:預:ㄩ4,預,ㄩ4,base,,ADV,avalent,1,moe-concised,single-reading,absent,tier-3,weak-1-2,non-predicate,,,
word:僱主:ㄍㄨ4-ㄓㄨ3,僱主,ㄍㄨ4 ㄓㄨ3,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,no-projection,single-reading,unique-record,tier-4,weak-1-2,non-predicate,,,
word:圖森:ㄊㄨ2-ㄙㄣ1,圖森,ㄊㄨ2 ㄙㄣ1,base,readingSupport,PROPN,avalent,1,no-projection,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:圖稿:ㄊㄨ2-ㄍㄠ3,圖稿,ㄊㄨ2 ㄍㄠ3,base,,NOUN,avalent,1,no-projection,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:對於:ㄉㄨㄟ4-ㄩ2,對於,ㄉㄨㄟ4 ㄩ2,base,readingSupport|commonness|grammarEvidence,ADP,avalent,1,moe-concised,single-reading,absent,tier-1,strong-10-plus,non-predicate,,,
